2023-09-16T19:16:22.4730179Z stderr F I0916 19:16:22.472825       1 serving.go:348] Generated self-signed cert in-memory
2023-09-16T19:16:26.857512522Z stderr F W0916 19:16:26.857357       1 requestheader_controller.go:193] Unable to get configmap/extension-apiserver-authentication in kube-system.  Usually fixed by 'kubectl create rolebinding -n kube-system ROLEBINDING_NAME --role=extension-apiserver-authentication-reader --serviceaccount=YOUR_NS:YOUR_SA'
2023-09-16T19:16:26.857538608Z stderr F W0916 19:16:26.857390       1 authentication.go:346] Error looking up in-cluster authentication configuration: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot get resource "configmaps" in API group "" in the namespace "kube-system"
2023-09-16T19:16:26.857541191Z stderr F W0916 19:16:26.857398       1 authentication.go:347] Continuing without authentication configuration. This may treat all requests as anonymous.
2023-09-16T19:16:26.857543288Z stderr F W0916 19:16:26.857403       1 authentication.go:348] To require authentication configuration lookup to succeed, set --authentication-tolerate-lookup-failure=false
2023-09-16T19:16:26.86826123Z stderr F I0916 19:16:26.868093       1 server.go:148] "Starting Kubernetes Scheduler" version="v1.25.3"
2023-09-16T19:16:26.868282896Z stderr F I0916 19:16:26.868124       1 server.go:150] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
2023-09-16T19:16:26.871367085Z stderr F I0916 19:16:26.871239       1 configmap_cafile_content.go:202] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2023-09-16T19:16:26.871386712Z stderr F I0916 19:16:26.871268       1 shared_informer.go:255] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
2023-09-16T19:16:26.8713929Z stderr F I0916 19:16:26.871288       1 secure_serving.go:210] Serving securely on 127.0.0.1:10259
2023-09-16T19:16:26.871463894Z stderr F I0916 19:16:26.871388       1 tlsconfig.go:240] "Starting DynamicServingCertificateController"
2023-09-16T19:16:26.872759022Z stderr F W0916 19:16:26.872577       1 reflector.go:424] vendor/k8s.io/client-go/informers/factory.go:134: failed to list *v1.Node: nodes is forbidden: User "system:kube-scheduler" cannot list resource "nodes" in API group "" at the cluster scope
2023-09-16T19:16:26.872768897Z stderr F E0916 19:16:26.872653       1 reflector.go:140] vendor/k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.Node: failed to list *v1.Node: nodes is forbidden: User "system:kube-scheduler" cannot list resource "nodes" in API group "" at the cluster scope
2023-09-16T19:16:26.872951473Z stderr F W0916 19:16:26.872888       1 reflector.go:424] pkg/server/dynamiccertificates/configmap_cafile_content.go:206: failed to list *v1.ConfigMap: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot list resource "configmaps" in API group "" in the namespace "kube-system"
2023-09-16T19:16:26.873071716Z stderr F E0916 19:16:26.873022       1 reflector.go:140] pkg/server/dynamiccertificates/configmap_cafile_content.go:206: Failed to watch *v1.ConfigMap: failed to list *v1.ConfigMap: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot list resource "configmaps" in API group "" in the namespace "kube-system"
